*** ено: Недоимки р.;*** ено: Недоимки к.;*** ено: Оклада 1 р.;*** ено: Оклада 1 к.;*** ено: Оклада 2 р.;*** ено: Оклада 2 к.;Поступило: Недоимки р.;Поступило: Недоимки к.;Поступило: Оклада 1 р.;Поступило: Оклада 1 к.;Поступило: Оклада 2 р.;Поступило: Оклада 2 к.;Осталось к 1 января 1885 г.: Недоимки р.;Осталось к 1 января 1885 г.: Недоимки к.;Осталось к 1 января 1885 г.: Оклада 1 р.;Осталось к 1 января 1885 г.: Оклада 1 к.;Осталось к 1 января 1885 г.: Оклада 2 р.;Осталось к 1 января 1885 г.: Оклада 2 к.;ВСЕГО р.;ВСЕГО к.
—;—;—;—;790;67;3043;49;—;—;10244;35;5969;18 1/2;—;—;4764;98;10734;16 1/2
100;32;13;23 1/2;14;15 1/2;591;99;1310;51;1317;3;2358;18 1/4;70;94;64;83;2493;95 1/4
—;—;—;—;—;—;—;39;—;10;—;8;1;75 1/4;—;14;—;16;2;5 1/4
—;—;—;—;—;—;4;87;20;12;19;90;19;71;4;3;4;25;27;99
—;—;—;—;—;—;2;29;92;29;91;66;42;77;8;34 1/2;8;97 1/2;60;9
100;32;13;23 1/2;14;15 1/2;599;54;1423;2;1428;67;2422;42;83;45 1/2;78;21 1/4;2584;9
—;—;17;52;18;60;767;51 1/2;1602;5;1661;46;3263;37;249;87;191;12;3704;36
—;—;—;—;—;—;—;51;—;14;—;10;2;—;—;18;—;22;2;40
—;—;—;2;—;2;3;91;28;44;23;27;23;81;3;70;8;87;36;38
—;—;—;—;—;—;—;—;—;—;—;—;151;77;—;—;—;—;151;77
—;—;17;54;18;62;771;93 1/2;1630;63;1683;83;3440;95;253;75;200;21;3894;91
674;15 3/4;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—
1243;1/2;197;21;123;37;938;49 1/2;644;26 1/4;273;1 1/2;6296;6 1/4;814;4 1/4;1291;74;8403;86
3;45;10;95;11;40;3649;31;4253;84;3280;77;24582;92;—;—;997;83;25580;75
3844;34;692;—;491;65;14739;76 1/2;36563;95;31582;32;55164;66;—;—;5267;37;60432;3
4575;16;452;78;344;54;1210;75 1/2;1547;94;671;83;30143;43;1168;20;2238;7;33549;70
—;—;—;—;—;—;19;8;3;28;2;53;362;67;2;31;3;5;368;3
—;—;—;45;—;45;60;45;655;92;552;86;1104;66;—;—;103;5;1207;71
—;—;—;—;—;—;121;94;2088;70;1762;4 1/2;1278;98;—;—;326;64 1/2;1605;62 1/2
8422;95;1156;18;848;4;19801;29 1/4;45113;63;37852;35 1/2;112637;32;1170;51;8936;1 1/2;122743;84 1/2
