ЧИСЛЕ: Военного сословия (м.);ЧИСЛЕ: Военного сословия (ж.);ЧИСЛЕ: Инородцев (м.);ЧИСЛЕ: Инородцев (ж.);ЧИСЛЕ: Поселенцев (м.);ЧИСЛЕ: Поселенцев (ж.);ЧИСЛЕ: Ссыльно-каторжных (м.);ЧИСЛЕ: Ссыльно-каторжных (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: Ниже 17 лет (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: Ниже 17 лет (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 17–20 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 17–20 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 21–30 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 21–30 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 31–40 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 31–40 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 41–50 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 41–50 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: 51–60 (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: 51–60 (ж.);ВОЗРАСТ ПРЕСТУПНИКОВ: Свыше 60 лет (м.);ВОЗРАСТ ПРЕСТУПНИКОВ: Свыше 60 лет (ж.)
3;—;—;—;—;—;—;—;—;—;—;—;—;—;5;—;2;—;—;—;—;—
—;—;—;—;22;—;—;—;—;—;—;—;10;—;20;—;3;—;1;—;—;—
—;—;—;—;2;—;—;—;—;—;—;—;5;—;7;—;8;—;6;—;3;—
—;—;—;—;6;—;—;—;—;—;—;—;5;2;6;—;2;—;—;—;—;—
2;—;—;—;3;1;—;—;—;—;—;—;—;—;10;1;2;—;—;—;—;—
—;—;—;—;1;—;—;—;—;—;—;—;1;—;—;—;2;—;—;—;—;—
—;—;—;—;8;—;—;—;—;—;—;—;6;—;7;—;4;—;—;—;—;—
—;—;1;—;—;—;—;—;—;—;—;—;6;—;15;—;6;—;3;—;—;—
—;—;3;—;22;1;—;—;—;—;1;—;29;1;42;1;26;—;7;2;5;—
—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;—;—;—;—;—;—;—
7;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;3;1;—;—;1;—
—;—;—;—;—;—;—;—;—;—;—;—;1;—;—;—;—;—;—;—;—;—
—;—;—;—;—;—;—;—;—;—;—;—;—;—;13;—;9;—;2;—;—;—
—;—;—;—;7;—;—;—;1;—;—;—;3;—;5;—;4;—;1;—;—;—
