ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
40;1842 г.;1842;17 Луку . . . . . . . . . . . . . . . . . . 341 Распахано земли в;
41;1842 г.;1842;17 Луку . . . . . . . . . . . . . . . . . . 341 Распахано земли в;
42;1840 г.;1840;18 3. ПО МИНУСИНСКОМУ ОКРУГУ: А) ПОСЕЛЕНИЕ САГАЙСКОЕ НАЧАТО УСТРАИВАТЬСЯ С МАРТА 1830 Г. Домов предп;
43;1841 г.;1841;18 3. ПО МИНУСИНСКОМУ ОКРУГУ: А) ПОСЕЛЕНИЕ САГАЙСКОЕ НАЧАТО УСТРАИВАТЬСЯ С МАРТА 1830 Г. Домов предп;
44;1841 г.;1841;18 3. ПО МИНУСИНСКОМУ ОКРУГУ: А) ПОСЕЛЕНИЕ САГАЙСКОЕ НАЧАТО УСТРАИВАТЬСЯ С МАРТА 1830 Г. Домов предп;
45;1841 г.;1841;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;
46;1841 г.;1841;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;
47;1840 г.;1840;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;
48;1842 г.;1842;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;
49;1842 г.;1842;19 Картофелю . . . . . . . . . . . . . . 32 гряд. Маку . . . . . . . . . . . . . . . . . . 3 – Родил;
50;1841 г.;1841;20 Ягнят . . . . . . . . . . . . . . . . . . . 36 Поселенцы имеют собственного заведения: Лошадей . ;
51;1840 г.;1840;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;
52;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;
53;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;
54;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;
55;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;
56;1841 г.;1841;21 Кузниц . . . . . . . . . . . . . . . . . . 12 Стаек для домашнего скота . . . . . . . . . 793 Дво;
57;1841 г.;1841;22 Капусты . . . . . . . . . . . . . . . . 2 261 Свеклы . . . . . . . . . . . . . . . . . 924 Бобов ;
58;1842 г.;1842;22 Капусты . . . . . . . . . . . . . . . . 2 261 Свеклы . . . . . . . . . . . . . . . . . 924 Бобов ;
59;1842 г.;1842;22 Капусты . . . . . . . . . . . . . . . . 2 261 Свеклы . . . . . . . . . . . . . . . . . 924 Бобов ;
60;1841 г.;1841;24 II. ПО ЧАСТИ ПУБЛИЧНЫХ ЗДАНИЙ Л) О ГУБЕРНСКИХ КАЗЕННЫХ СТРОЕНИЯХ ВООБЩЕ, В КАКОМ СОСТОЯНИИ НАХОДЯ;
61;19 марта 1841 г.;1841-03-19;25 Н) О ПРЕДПОЛОЖЕНИЯХ НА НАСТУПАЮЩИЙ ГОД К СООРУЖЕНИЮ НОВЫХ И К КАПИТАЛЬНЫМ ИСПРАВЛЕНИЯМ СТАРЫХ СТР;
62;1841 г.;1841;26 I. ПО ЧАСТИ ДЕПАРТАМЕНТА ПОЛИЦИИ ИСПОЛНИТЕЛЬНОЙ 1) По устройству губернских и окружных управлений;
63;1841 г.;1841;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
64;1842 г.;1842;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
65;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
66;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
67;1841 г.;1841;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
68;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
69;1842 г.;1842;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
70;1840 г.;1840;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
71;1841 г.;1841;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
72;1842 г.;1842;27 2. О УСПЕХЕ ТЕЧЕНИЯ ДЕЛ ПО ВСЕМ СИМ МЕСТАМ С ПРИЛОЖЕНИЕМ ВЕДОМОСТИ О ЧИСЛЕ РЕШЕННЫХ И ОСТАЮЩИХСЯ ;
73;1841 г.;1841;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;
74;1840 г.;1840;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;
75;1842 г.;1842;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;
76;1842 г.;1842;29 городских доходов никак не дозволяет, несмотря на все попечение начальства, чтоб довести до желае;
77;1842 г.;1842;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;
78;1842 г.;1842;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;
79;1842 г.;1842;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;
80;1841 г.;1841;30 Действительного расходу было . . . . . 1 272 – 68 3/73/7 Осталось к;
81;1840 г.;1840;31 6. О УСТРОЙСТВЕ И СОДЕРЖАНИИ ГОРОДОВЫХ БОЛЬНИЦ, НЕ ПОДЛЕЖАЩИХ ВЕДОМСТВУ ПРИКАЗА ОБЩЕСТВЕННОГО ПРИ;
82;1841 г.;1841;31 6. О УСТРОЙСТВЕ И СОДЕРЖАНИИ ГОРОДОВЫХ БОЛЬНИЦ, НЕ ПОДЛЕЖАЩИХ ВЕДОМСТВУ ПРИКАЗА ОБЩЕСТВЕННОГО ПРИ;
83;1841 г.;1841;31 6. О УСТРОЙСТВЕ И СОДЕРЖАНИИ ГОРОДОВЫХ БОЛЬНИЦ, НЕ ПОДЛЕЖАЩИХ ВЕДОМСТВУ ПРИКАЗА ОБЩЕСТВЕННОГО ПРИ;
84;1841 г.;1841;32 3) от председателя;
85;1840 г.;1840;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;
86;22 мая 1841 г.;1841-05-22;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;
87;1841 г.;1841;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;
88;1841 г.;1841;33 12. ОБ ОТВОДЕ ГОРОДАМ ВЫГОНОВ Выгоны при всех городах;
89;1841 г.;1841;34 затоплены окрестности города и более трех частей улиц. Некоторые дома и другия строения водою сне;
90;1841 г.;1841;35 Хотя по 19 ч. октября;
91;1841 г.;1841;"36 виновников не открыто, но 3 оставлены в подозрении; прочие же пожары были собственно от неосторож";
92;1841 г.;1841;"36 виновников не открыто, но 3 оставлены в подозрении; прочие же пожары были собственно от неосторож";
93;1840 г.;1840;"36 виновников не открыто, но 3 оставлены в подозрении; прочие же пожары были собственно от неосторож";
94;1841 г.;1841;39 по роду дел его, находится значительный беспорядок, который произошел собственно от письмоводител;
95;1841 г.;1841;40 II. ПО ОХРАНЕНИЮ ВНУТРЕННЕЙ БЕЗОПАСНОСТИ И О ПОЛИЦИИ ДЕЛ СУДНЫХ И УГОЛОВНЫХ 20) О СОСТОЯНИИ МЕСТ ;
96;1842 г.;1842;40 II. ПО ОХРАНЕНИЮ ВНУТРЕННЕЙ БЕЗОПАСНОСТИ И О ПОЛИЦИИ ДЕЛ СУДНЫХ И УГОЛОВНЫХ 20) О СОСТОЯНИИ МЕСТ ;
97;1841 г.;1841;40 II. ПО ОХРАНЕНИЮ ВНУТРЕННЕЙ БЕЗОПАСНОСТИ И О ПОЛИЦИИ ДЕЛ СУДНЫХ И УГОЛОВНЫХ 20) О СОСТОЯНИИ МЕСТ ;
98;1841 г.;1841;41 22. О ПОИМКЕ РАЗНОГО РОДА ПРЕСТУПНИКОВ, БЕГЛЫХ, БЕСПАСПОРТНЫХ И ДЕЗЕРТИРОВ И О ПРЕСЕЧЕНИИ БРОДЯЖН;
99;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;
100;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;
101;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;
102;1841 г.;1841;43 в исправном положении, кроме случившихся в них незначительных повреждений, каковые немедленно был;
103;1841 г.;1841;"44 окружных, о коих немедленно производились строгия исследования; обнаруженные в притеснении кресть";
104;1842 г.;1842;45 III. ПО ЧАСТИ ЗЕМСКИХ ПОВИННОСТЕЙ И О ВОИНСКИХ ТРЕБОВАНИЯХ 34. ОБ УСТРОЙСТВЕ И СОДЕРЖАНИИ ДОРОГ У;
105;1840 г.;1840;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;
106;1841 г.;1841;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;
107;1841 г.;1841;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;
108;1842 г.;1842;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;
109;1 января 1842 г.;1842-01-01;47 встречаются разные, никак неизбежные, препятствия, из коих главнейшия суть: расстройство и даже н;
110;1842 г.;1842;48 Считается на поселенцах ведомства;
111;1841 г.;1841;48 Считается на поселенцах ведомства;
112;12 июля 1841 г.;1841-07-12;48 Считается на поселенцах ведомства;
113;1841 г.;1841;48 Считается на поселенцах ведомства;
114;1842 г.;1842;49 За прежние годы . . . . . . . . . . 26 951 – 27 3/73/7 1/141/14 В это число вступило: Оклада . . ;
115;1841 г.;1841;49 За прежние годы . . . . . . . . . . 26 951 – 27 3/73/7 1/141/14 В это число вступило: Оклада . . ;
116;1841 г.;1841;51 повреждения, в особенности значительные в занимаемых Линейным баталионом;
117;1841 г.;1841;51 повреждения, в особенности значительные в занимаемых Линейным баталионом;
118;1841 г.;1841;52 надзор, и если бывает когда замечено незаконное или излишнее употребление обывательских лошадей з;
119;1841 г.;1841;52 надзор, и если бывает когда замечено незаконное или излишнее употребление обывательских лошадей з;
120;1834 г.;1834;53 ПО ЧАСТИ ДЕПАРТАМЕНТА ХОЗЯЙСТВЕННОГО I. НАРОДНОЕ ПРОДОВОЛЬСТВИЕ И ПРОМЫШЛЕННОСТЬ 1. УПРАВЛЕНИЕ Вс;
121;16 января 1836 г.;1836-01-16;53 ПО ЧАСТИ ДЕПАРТАМЕНТА ХОЗЯЙСТВЕННОГО I. НАРОДНОЕ ПРОДОВОЛЬСТВИЕ И ПРОМЫШЛЕННОСТЬ 1. УПРАВЛЕНИЕ Вс;
122;1840 г.;1840;53 ПО ЧАСТИ ДЕПАРТАМЕНТА ХОЗЯЙСТВЕННОГО I. НАРОДНОЕ ПРОДОВОЛЬСТВИЕ И ПРОМЫШЛЕННОСТЬ 1. УПРАВЛЕНИЕ Вс;
123;1840 г.;1840;54 жители достаточно продовольствуются хлебом из некоторых волостей своего округа, расположенных к ю;
124;1841 г.;1841;54 жители достаточно продовольствуются хлебом из некоторых волостей своего округа, расположенных к ю;
125;1841 г.;1841;54 жители достаточно продовольствуются хлебом из некоторых волостей своего округа, расположенных к ю;
126;1841 г.;1841;57 земскими начальствами и другими, особо командируемыми лицами. Впрочем, за сохранностию хлеба вооб;
127;1841 г.;1841;58 и воды местах, находились в;
128;1841 г.;1841;58 и воды местах, находились в;
129;1841 г.;1841;58 и воды местах, находились в;
130;1841 г.;1841;58 и воды местах, находились в;
131;1841 г.;1841;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";
132;1841 г.;1841;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";
133;10 октября 1841 г.;1841-10-10;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";
134;1841 г.;1841;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";
135;10 января 1841 года;1841-01-10;"59 в год 1 085 руб. 71 1/71/7 коп. на серебро; прибавки же в";
136;1 января 1841 г.;1841-01-01;60 13. От 17 июля № 515 касательно порядка производства торгов на продажу просроченных в приказах им;
137;1841 г.;1841;60 13. От 17 июля № 515 касательно порядка производства торгов на продажу просроченных в приказах им;
138;1841 г.;1841;60 13. От 17 июля № 515 касательно порядка производства торгов на продажу просроченных в приказах им;
139;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
140;1840 г.;1840;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
141;16 апреля 1841 г.;1841-04-16;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
142;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
143;1840 г.;1840;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
144;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
145;1842 г.;1842;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
146;1841 г.;1841;61 Определительных, но в качестве непостоянных . . . . . . . . . . . . . . 2 225 – 78 4/74/7 Неопред;
147;1841 г.;1841;63 ПО ЧАСТИ ГРАЖДАНСКОГО ГЕНЕРАЛ-ШТАБ-ДОКТОРА I. О КОЛИЧЕСТВЕ МЕДИЦИНСКИХ ЧИНОВ а) в;
148;1840 г.;1840;64 б) недостает по штату: при;
149;1840 г.;1840;64 б) недостает по штату: при;
150;1841 г.;1841;64 б) недостает по штату: при;
151;1841 г.;1841;64 б) недостает по штату: при;
152;1842 г.;1842;65 1. В;
153;1831 г.;1831;67 способствовало и изменение жаркой атмосферы в прохладную. Больных было 177 лошадей, из числа коих;
154;1840 г.;1840;67 способствовало и изменение жаркой атмосферы в прохладную. Больных было 177 лошадей, из числа коих;
155;1841 г.;1841;67 способствовало и изменение жаркой атмосферы в прохладную. Больных было 177 лошадей, из числа коих;
156;1841 г.;1841;68 7. О ЧИСЛЕ АПТЕК а) в;
157;1841 год;1841;70;
158;1841 год;1841;71;
159;1841 г.;1841;106 В;
160;1841 г.;1841;106 В;
161;1842 г.;1842;106 В;
162;1841 г.;1841;107 В;
163;1841 г.;1841;107 В;
164;1842 г.;1842;107 В;
165;1841 г.;1841;108 В;
166;1841 г.;1841;108 В;
167;1842 г.;1842;108 В;
168;1841 г.;1841;109 В;
169;1841 г.;1841;109 В;
170;1842 г.;1842;109 В;
171;1841 г.;1841;110 В;
172;1841 г.;1841;110 В;
173;1842 г.;1842;110 В;
174;1841 г.;1841;111 В;
175;1841 г.;1841;111 В;
176;1842 г.;1842;111 В;
177;1841 г.;1841;117;
178;1 января 1842 г.;1842-01-01;160 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;
179;1841 г.;1841;160 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;
180;1 января 1842 г.;1842-01-01;160 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;
181;1 января 1842 г.;1842-01-01;161 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;
182;1841 г.;1841;161 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;
183;1 января 1842 г.;1842-01-01;161 I. Во временных заводских работниках II. В мастеровых III. В цехе слуг IIV. На поселении V. В не;
184;1841 г.;1841;164 Раздел I. Глава IV Раздел IX. Глава II Раздел II. Глава IV По Всемилостивейшему манифесту 16-го ;
185;1841 г.;1841;165 Раздел I. Глава IV Раздел IX. Глава II Раздел II. Глава IV По Всемилостивейшему манифесту 16-го ;
186;16 апреля 1841 г.;1841-04-16;168 Раздел I. Глава IV Раздел IX. Глава II Раздел VII. Глава X По Всемилостивейшему манифесту;
187;16 апреля 1841 г.;1841-04-16;169 Раздел I. Глава IV Раздел IX. Глава II Раздел VII. Глава X По Всемилостивейшему манифесту;
188;1841 г.;1841;176 Сведения о суммах;
189;1841 г.;1841;176 Сведения о суммах;
190;1841 г.;1841;176 Сведения о суммах;
191;1841 г.;1841;176 Сведения о суммах;
192;1842 г.;1842;176 Сведения о суммах;
193;1841 г.;1841;176 Сведения о суммах;
194;1841 г.;1841;176 Сведения о суммах;
195;1842 г.;1842;176 Сведения о суммах;
196;1841 г.;1841;176 Сведения о суммах;
197;1841 г.;1841;176 Сведения о суммах;
198;1842 г.;1842;176 Сведения о суммах;
199;1841 г.;1841;176 Сведения о суммах;
200;1841 г.;1841;176 Сведения о суммах;
201;1842 г.;1842;176 Сведения о суммах;
202;1841 г.;1841;177 Сведения о суммах;
203;1841 г.;1841;177 Сведения о суммах;
204;1841 г.;1841;177 Сведения о суммах;
205;1841 г.;1841;177 Сведения о суммах;
206;1842 г.;1842;177 Сведения о суммах;
207;1841 г.;1841;177 Сведения о суммах;
208;1841 г.;1841;177 Сведения о суммах;
209;1842 г.;1842;177 Сведения о суммах;
210;1841 г.;1841;177 Сведения о суммах;
211;1841 г.;1841;177 Сведения о суммах;
212;1842 г.;1842;177 Сведения о суммах;
213;1841 г.;1841;177 Сведения о суммах;
214;1841 г.;1841;177 Сведения о суммах;
215;1842 г.;1842;177 Сведения о суммах;
216;1842 г.;1842;178 Всего капитала, оставшегося к;
217;1841 г.;1841;178 Всего капитала, оставшегося к;
218;1841 г.;1841;178 Всего капитала, оставшегося к;
219;1842 г.;1842;178 Всего капитала, оставшегося к;
220;1841 г.;1841;178 Всего капитала, оставшегося к;
221;1841 г.;1841;178 Всего капитала, оставшегося к;
222;1842 г.;1842;178 Всего капитала, оставшегося к;
223;1841 г.;1841;178 Всего капитала, оставшегося к;
224;1841 г.;1841;178 Всего капитала, оставшегося к;
225;1842 г.;1842;178 Всего капитала, оставшегося к;
226;1842 г.;1842;179 Всего капитала, оставшегося к;
227;1841 г.;1841;179 Всего капитала, оставшегося к;
228;1841 г.;1841;179 Всего капитала, оставшегося к;
229;1842 г.;1842;179 Всего капитала, оставшегося к;
230;1841 г.;1841;179 Всего капитала, оставшегося к;
231;1841 г.;1841;179 Всего капитала, оставшегося к;
232;1842 г.;1842;179 Всего капитала, оставшегося к;
233;1841 г.;1841;179 Всего капитала, оставшегося к;
234;1841 г.;1841;179 Всего капитала, оставшегося к;
235;1842 г.;1842;179 Всего капитала, оставшегося к;
236;1 АВГУСТА 1840;1840-08-01;РАСЧЕТ, ЧЕГО СТОИЛО СОДЕРЖАНИЕ В ГРАЖДАНСКИХ БОЛЬНИЦАХ ИРКУТСКОЙ ГУБЕРНИИ ОДНОГО БОЛЬНОГО С;
237;1841 г.;1841;185;
238;4 июня 1842 г.;1842-06-04;185;
239;1842 г.;1842;185;
240;1841 г.;1841;188 Господину министру финансов Имею честь препроводить к Вашему Сиятельству по принадлежности выпис;
241;24 октября 1842;1842-10-24;188 Господину министру финансов Имею честь препроводить к Вашему Сиятельству по принадлежности выпис;
242;1841 г.;1841;189 Господину министру внутренних дел На отношение Вашего Превосходительства от 24 минувшего октября;
243;7 ноября 1842 г.;1842-11-07;189 Господину министру внутренних дел На отношение Вашего Превосходительства от 24 минувшего октября;
244;10 октября 1842;1842-10-10;191 Господину министру внутренних дел Впоследствии отношения к Вашему Высокопревосходительству от 30;
245;1838 г.;1838;193 В.;
246;27 ноября 1842;1842-11-27;197 В Д-т полиции исполнительной Генерал-губернатор;
247;27 ноября 1842;1842-11-27;198 В хозяйственный д-т Генерал-губернатор;
248;5 ОКТЯБРЯ 1842;1842-10-05;ЖУРНАЛ СОВЕТА МИНИСТРА ВНУТРЕННИХ ДЕЛ ЗАСЕДАНИЕ XII;
249;1840 г.;1840;200 Слушаны: а) доставленный генерал-губернатором;
250;1841 г.;1841;200 Слушаны: а) доставленный генерал-губернатором;
251;15 октября 1842 г.;1842-10-15;201 4. О недостаточности средств по присутственным местам и в особенности по Верхнеудинскому земском;
