ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;1841 г.;1841;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;
2;7 июля 1842 г.;1842-07-07;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;
3;15 октября 1842 г.;1842-10-15;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;
4;1842 г.;1842;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;
5;1841 г.;1841;3;
6;27 мая 1842 г.;1842-05-27;3;
7;1841 г.;1841;3;
8;1 июля 1842 г.;1842-07-01;3;
9;1841 г.;1841;6 ПО ЧАСТИ ДЕПАРТАМЕНТА ГОСУДАРСТВЕННОГО ХОЗЯЙСТВА И ПУБЛИЧНЫХ ЗДАНИЙ 1. ПО ЧАСТИ ЗЕМЛЕДЕЛИЯ И СЕЛЬС;
10;1841 г.;1841;7 промышленности есть сколько малосведущность их в хозяйстве, столько и суровость самого климата. Г);
11;1827 г.;1827;8 З) ОБ УСПЕХАХ ПОСЕЛЕНИЯ ССЫЛЬНЫХ В СИБИРСКИХ ГУБЕРНИЯХ Устраиваемые в;
12;1 МАЯ 1829 Г.;1829-05-01;8 З) ОБ УСПЕХАХ ПОСЕЛЕНИЯ ССЫЛЬНЫХ В СИБИРСКИХ ГУБЕРНИЯХ Устраиваемые в;
13;1841 г.;1841;"9 по одному сараю; по одной бане; по одному овину. Все это выстроено сполна. Кроме этого, выстроено ";
14;1841 г.;1841;"9 по одному сараю; по одной бане; по одному овину. Все это выстроено сполна. Кроме этого, выстроено ";
15;1841 г.;1841;"9 по одному сараю; по одной бане; по одному овину. Все это выстроено сполна. Кроме этого, выстроено ";
16;1841 г.;1841;10 Было посеяно и посажено огородных овощей в;
17;1842 г.;1842;10 Было посеяно и посажено огородных овощей в;
18;1842 г.;1842;10 Было посеяно и посажено огородных овощей в;
19;30 МАРТА 1830 Г.;1830-03-30;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;
20;1840 г.;1840;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;
21;1841 г.;1841;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;
22;1841 г.;1841;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;
23;1840 г.;1840;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
24;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
25;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
26;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
27;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
28;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
29;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
30;1842 г.;1842;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;
31;1842 г.;1842;15 Приготовлено залогу к;
32;1830 г.;1830;15 Приготовлено залогу к;
33;1840 г.;1840;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;
34;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;
35;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;
36;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;
37;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;
38;1841 г.;1841;16 Все это выстроено сполна, исключая 13 бань и 12 овинов, которые устроиваются исподволь. Кроме тог;
39;1841 г.;1841;17 Луку . . . . . . . . . . . . . . . . . . 341 Распахано земли в;
