id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;1841 г.;1841;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;#event_1884_1
2;7 июля 1842 г.;1842-07-07;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;#event_1884_2
3;15 октября 1842 г.;1842-10-15;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;#event_1884_3
4;1842 г.;1842;АРХИВНОЕ ДЕЛО ПО ОТЧЕТУ О СОСТОЯНИИ ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;#event_1884_4
5;1841 г.;1841;3;#event_1884_5
6;27 мая 1842 г.;1842-05-27;3;#event_1884_6
7;1841 г.;1841;3;#event_1884_7
8;1 июля 1842 г.;1842-07-01;3;#event_1884_8
9;1841 г.;1841;6 ПО ЧАСТИ ДЕПАРТАМЕНТА ГОСУДАРСТВЕННОГО ХОЗЯЙСТВА И ПУБЛИЧНЫХ ЗДАНИЙ 1. ПО ЧАСТИ ЗЕМЛЕДЕЛИЯ И СЕЛЬС;#event_1884_9
10;1841 г.;1841;7 промышленности есть сколько малосведущность их в хозяйстве, столько и суровость самого климата. Г);#event_1884_10
11;1827 г.;1827;8 З) ОБ УСПЕХАХ ПОСЕЛЕНИЯ ССЫЛЬНЫХ В СИБИРСКИХ ГУБЕРНИЯХ Устраиваемые в;#event_1884_11
12;1 МАЯ 1829 Г.;1829-05-01;8 З) ОБ УСПЕХАХ ПОСЕЛЕНИЯ ССЫЛЬНЫХ В СИБИРСКИХ ГУБЕРНИЯХ Устраиваемые в;#event_1884_12
13;1841 г.;1841;"9 по одному сараю; по одной бане; по одному овину. Все это выстроено сполна. Кроме этого, выстроено ";#event_1884_13
14;1841 г.;1841;"9 по одному сараю; по одной бане; по одному овину. Все это выстроено сполна. Кроме этого, выстроено ";#event_1884_14
15;1841 г.;1841;"9 по одному сараю; по одной бане; по одному овину. Все это выстроено сполна. Кроме этого, выстроено ";#event_1884_15
16;1841 г.;1841;10 Было посеяно и посажено огородных овощей в;#event_1884_16
17;1842 г.;1842;10 Было посеяно и посажено огородных овощей в;#event_1884_17
18;1842 г.;1842;10 Было посеяно и посажено огородных овощей в;#event_1884_18
19;30 МАРТА 1830 Г.;1830-03-30;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;#event_1884_19
20;1840 г.;1840;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;#event_1884_20
21;1841 г.;1841;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;#event_1884_21
22;1841 г.;1841;11 Людей предположено водворить в тех пяти деревнях: Мужеска пола . . . . . . . . . . . . . . 1 268 ;#event_1884_22
23;1840 г.;1840;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_23
24;1841 г.;1841;14 Анбаров . . . . . . . . . . . . . . . . . . 20 Избушек . . . . . . . . . . . . . . . . . . 41 Рас;#event_1884_24
