id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
180;1866 год;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_180
181;1867 г.;1867;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_181
182;1866 год;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_182
183;1866 г.;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_183
184;1865 г.;1865;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_184
185;1866 г.;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_185
186;1867 г.;1867;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_186
187;1865 г.;1865;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_187
188;1866 г.;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_188
189;1866 год;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_189
190;1867 г.;1867;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_190
191;1866 год;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_191
192;1866 г.;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;#event_1866_192
193;1857 г.;1857;181 Каких сумм На серебро Состояло Прибыло Убыло Состоит Руб. Коп. Руб. Коп. Руб. Коп. Руб. Коп. ноя;#event_1866_193
194;4 декабря 1858 г.;1858-12-04;181 Каких сумм На серебро Состояло Прибыло Убыло Состоит Руб. Коп. Руб. Коп. Руб. Коп. Руб. Коп. ноя;#event_1866_194
195;1866 г.;1866;"до 1 руб. 61/2 коп.; сбор с податных сословий в означенных размерах, кроме внутренних повинностей, о";#event_1866_195
196;1 января 1866 г.;1866-01-01;"до 1 руб. 61/2 коп.; сбор с податных сословий в означенных размерах, кроме внутренних повинностей, о";#event_1866_196
197;1865 г.;1865;189 Копия № 12 ВЕДОМОСТЬ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ В ЕНИ;#event_1866_197
198;1865 г.;1865;189 Копия № 12 ВЕДОМОСТЬ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ В ЕНИ;#event_1866_198
199;1865 г.;1865;190 Округ Роды имений Сдача одного рекрута обошлась Примечание Обмундирование Жалованье и провиант П;#event_1866_199
200;1865 г.;1865;190 Округ Роды имений Сдача одного рекрута обошлась Примечание Обмундирование Жалованье и провиант П;#event_1866_200
201;1865 г.;1865;190 Округ Роды имений Сдача одного рекрута обошлась Примечание Обмундирование Жалованье и провиант П;#event_1866_201
202;1866 г.;1866;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;#event_1866_202
203;1866 г.;1866;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;#event_1866_203
204;1867 г.;1867;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;#event_1866_204
205;1867 г.;1867;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;#event_1866_205
206;1866 г.;1866;197 НАЗВАНИЕ ГОРОДОВ Домов Торговых лавок ДРУГИХ ЗДАНИЙКазенных Частных к. д. к. д. к. д. Итого: кам;#event_1866_206
207;1866 г.;1866;198 Число войск В губернии находится Губернского батальона и подведомственных оному команд — 1 398.;#event_1866_207
208;1866 г.;1866;"199 шлин с выданных крестьянам на право торговли сви детельств 85 424 руб. 12 1/2 коп.; 8) акцизных ";#event_1866_208
209;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;#event_1866_209
210;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;#event_1866_210
211;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;#event_1866_211
212;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;#event_1866_212
