id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
73;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";#event_1866_73
74;1866 г.;1866;"28 б) простого звания — 97 м.; прибыло по воле — 3 ж. 4. В работу: а) ссыльнокаторжных в";#event_1866_74
75;1866 г.;1866;"29  пенсионом — 8;  находятся на казенном содержании — 59;  у родственников — 336. Всего: 1 782. ";#event_1866_75
76;1862 г.;1862;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_76
77;1868 г.;1868;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_77
78;1868 г.;1868;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_78
79;1864 г.;1864;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_79
80;1866 г.;1866;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_80
81;9 декабря 1865 г.;1865-12-09;30 По судебным приговорам содержалось и под арестом 199 мужчин и 32 женщины, всего 231 человек. Пред;#event_1866_81
82;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_82
83;1 февраля 1866 г.;1866-02-01;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_83
84;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_84
85;1866 г.;1866;31 П. Этапы Этапных помещений 8 и устроенных для ночлегов арестантских партий 10. Предположенные к п;#event_1866_85
86;1866 г.;1866;32 В том числе:  в губернском;#event_1866_86
87;1866 г.;1866;32 В том числе:  в губернском;#event_1866_87
88;1866 г.;1866;32 В том числе:  в губернском;#event_1866_88
89;1866 г.;1866;32 В том числе:  в губернском;#event_1866_89
90;1865 г.;1865;32 В том числе:  в губернском;#event_1866_90
91;16 июня 1865 г.;1865-06-16;32 В том числе:  в губернском;#event_1866_91
92;1866 г.;1866;33 Г. Заразительные болезни С самой ранней весны, когда не было еще возможности переправиться через ;#event_1866_92
93;1866 г.;1866;33 Г. Заразительные болезни С самой ранней весны, когда не было еще возможности переправиться через ;#event_1866_93
94;1866 г.;1866;34 скота был в;#event_1866_94
95;1867 г.;1867;34 скота был в;#event_1866_95
96;1866 г.;1866;34 скота был в;#event_1866_96
97;1865 г.;1865;34 скота был в;#event_1866_97
98;1866 г.;1866;34 скота был в;#event_1866_98
99;26 октября 1863 г.;1863-10-26;35 _______________ (х) Представлено г-ну Министру внутренних дел;#event_1866_99
100;11 ноября 1866 г.;1866-11-11;35 _______________ (х) Представлено г-ну Министру внутренних дел;#event_1866_100
101;1866 г.;1866;35 _______________ (х) Представлено г-ну Министру внутренних дел;#event_1866_101
102;1866 г.;1866;35 _______________ (х) Представлено г-ну Министру внутренних дел;#event_1866_102
103;1 января 1866 г.;1866-01-01;35 _______________ (х) Представлено г-ну Министру внутренних дел;#event_1866_103
104;1866 г.;1866;36 В. Богадельни Находящиеся в;#event_1866_104
105;1866 г.;1866;36 В. Богадельни Находящиеся в;#event_1866_105
106;4 апреля 1866 г.;1866-04-04;36 В. Богадельни Находящиеся в;#event_1866_106
107;1864 г.;1864;36 В. Богадельни Находящиеся в;#event_1866_107
108;1865 г.;1865;36 В. Богадельни Находящиеся в;#event_1866_108
109;1865 г.;1865;38 Число заведений Число учащихся муж. жен. В станицах: Дрокинской Мининской Бугачевской Торгашинско;#event_1866_109
110;1866 г.;1866;38 Число заведений Число учащихся муж. жен. В станицах: Дрокинской Мининской Бугачевской Торгашинско;#event_1866_110
111;25 октября 1865 г.;1865-10-25;39 _______________ (х) Представлено Генерал-Губернатору;#event_1866_111
112;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;#event_1866_112
113;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;#event_1866_113
114;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;#event_1866_114
115;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;#event_1866_115
116;1866 г.;1866;40 Б. Типография Существующая в губернии при Губернском правлении типография находится в удовлетвори;#event_1866_116
117;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_117
118;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_118
119;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_119
120;1867 г.;1867;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_120
121;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_121
122;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_122
123;1865 г.;1865;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1866_123
124;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_124
125;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_125
126;1865 г.;1865;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_126
127;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_127
128;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_128
129;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_129
130;19 мая 1865 г.;1865-05-19;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";#event_1866_130
131;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;#event_1866_131
132;1862 г.;1862;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;#event_1866_132
133;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;#event_1866_133
134;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;#event_1866_134
