ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
111;25 октября 1865 г.;1865-10-25;39 _______________ (х) Представлено Генерал-Губернатору;
112;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;
113;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;
114;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;
115;1866 г.;1866;39 _______________ (х) Представлено Генерал-Губернатору;
116;1866 г.;1866;40 Б. Типография Существующая в губернии при Губернском правлении типография находится в удовлетвори;
117;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
118;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
119;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
120;1867 г.;1867;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
121;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
122;1866 г.;1866;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
123;1865 г.;1865;41 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
124;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
125;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
126;1865 г.;1865;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
127;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
128;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
129;1866 г.;1866;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
130;19 мая 1865 г.;1865-05-19;"42 домов; вопрос этот представлен на разрешение высшего начальства(х). Вообще пожарная часть содержи";
131;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
132;1862 г.;1862;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
133;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
134;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
135;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
136;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
137;1867 г.;1867;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
138;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
139;1866 г.;1866;43 родскому хозяйству и торговой полиции, направлены были к увеличению городских доходов и к экономи;
140;1866 г.;1866;"44 ском хлеба из сельских экономических магазинов; кроме того, священно- и церковнослужителям, за ис";
141;1866 г.;1866;"44 ском хлеба из сельских экономических магазинов; кроме того, священно- и церковнослужителям, за ис";
142;14 ноября 1866 г.;1866-11-14;"44 ском хлеба из сельских экономических магазинов; кроме того, священно- и церковнослужителям, за ис";
143;30 сентября 1866 г.;1866-09-30;"44 ском хлеба из сельских экономических магазинов; кроме того, священно- и церковнослужителям, за ис";
