ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
186;1867 г.;1867;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
187;1865 г.;1865;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
188;1866 г.;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
189;1866 год;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
190;1867 г.;1867;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
191;1866 год;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
192;1866 г.;1866;ВЕДО МОСТЬ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ О ЧИСЛЕ РАССМОТРЕННЫХ ЕНИСЕЙСКИМ ГРАЖ ДАНСКИМ ГУБЕР;
193;1857 г.;1857;181 Каких сумм На серебро Состояло Прибыло Убыло Состоит Руб. Коп. Руб. Коп. Руб. Коп. Руб. Коп. ноя;
194;4 декабря 1858 г.;1858-12-04;181 Каких сумм На серебро Состояло Прибыло Убыло Состоит Руб. Коп. Руб. Коп. Руб. Коп. Руб. Коп. ноя;
195;1866 г.;1866;"до 1 руб. 61/2 коп.; сбор с податных сословий в означенных размерах, кроме внутренних повинностей, о";
196;1 января 1866 г.;1866-01-01;"до 1 руб. 61/2 коп.; сбор с податных сословий в означенных размерах, кроме внутренних повинностей, о";
197;1865 г.;1865;189 Копия № 12 ВЕДОМОСТЬ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ В ЕНИ;
198;1865 г.;1865;189 Копия № 12 ВЕДОМОСТЬ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ ОБ ИЗДЕРЖКАХ ПО РЕКРУТСКОМУ НАБОРУ В ЕНИ;
199;1865 г.;1865;190 Округ Роды имений Сдача одного рекрута обошлась Примечание Обмундирование Жалованье и провиант П;
200;1865 г.;1865;190 Округ Роды имений Сдача одного рекрута обошлась Примечание Обмундирование Жалованье и провиант П;
201;1865 г.;1865;190 Округ Роды имений Сдача одного рекрута обошлась Примечание Обмундирование Жалованье и провиант П;
202;1866 г.;1866;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;
203;1866 г.;1866;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;
204;1867 г.;1867;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;
205;1867 г.;1867;191 Копия № 13 ВЕДОМОСТЬ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ О ДОХОДАХ И РАСХОДАХ ГОРОДОВ ЕНИСЕЙСКОЙ ГУБЕРН;
206;1866 г.;1866;197 НАЗВАНИЕ ГОРОДОВ Домов Торговых лавок ДРУГИХ ЗДАНИЙКазенных Частных к. д. к. д. к. д. Итого: кам;
207;1866 г.;1866;198 Число войск В губернии находится Губернского батальона и подведомственных оному команд — 1 398.;
208;1866 г.;1866;"199 шлин с выданных крестьянам на право торговли сви детельств 85 424 руб. 12 1/2 коп.; 8) акцизных ";
209;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;
210;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;
211;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;
212;1866 г.;1866;201 Копия № 16 ВЕДОМОСТЬ ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА ПО ОБОРОТАМ НА ЯРМАРКАХ ЗА 18661866 ГОД ГОД Назв;
213;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;
214;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;
215;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;
216;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;
217;1866 г.;1866;В Соляноозерной с 6 ноября по 1 декабря 14000 р. 480р. 700 р. 7450 р. 4610 р. 370 р. 500 р. 2400 р. ;
218;1865 г.;1865;207 Звание городов и селений, где находятся фабрики и заводы Какие фабрики и заводы и сколько На как;
219;1866 г.;1866;208 4. К числу фабрик и заводов можно отнести и добычу золота на частных золотых приисках.;
220;1866 г.;1866;208 4. К числу фабрик и заводов можно отнести и добычу золота на частных золотых приисках.;
221;1 января 1867 г.;1867-01-01;213 ОЗНАЧЕНИЕ СОСЛОВИЙ Хлебные запасы Число душ К;
222;1866 г.;1866;223 Примечания: 1. По состоянию и званию обнаруженные преступники были: чиновников 9, канцелярских с;
223;1865 г.;1865;226 О РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХО РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХ Название городов и округов Преемлющих свя;
224;1866 г.;1866;226 О РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХО РАСКОЛЬНИКАХ ПО РАЗНЫМ ИХ Название городов и округов Преемлющих свя;
225;1866 г.;1866;229 Примечания: 1. Сверх того, в Троицком солеваренном заводе и на частных золотых промыслах: В Трои;
226;1866 г.;1866;229 Примечания: 1. Сверх того, в Троицком солеваренном заводе и на частных золотых промыслах: В Трои;
227;1866 г.;1866;233 ТАБЕЛЬТАБЕЛЬ ТЕЛЬНЫХ ПРОИСШЕСТВИЙ ЕНИСЕЙСКОЙ ГУБЕРНИИТЕЛЬНЫХ ПРОИСШЕСТВИЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ Ра;
228;1 января 1866 г.;1866-01-01;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
229;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
230;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
231;1866 г.;1866;234 СВЕДЕНИЯ О ПОЛОЖЕНИИ СБОРОВ О ПОЛОЖЕНИИ СБОРОВ С ЖИТЕЛЕЙ ЕНИСЕЙСКОЙ ГУБЕРНИИ В 1866 ГОДУ С ЖИТЕЛ;
